# WELL TRACE FROM PETREL 
# WELL NAME:              JY68-4HF
# DEFINITIVE SURVEY:      JY68-4HF
# WELL HEAD X-COORDINATE: 751465.40000000 (m)
# WELL HEAD Y-COORDINATE: 3296459.90000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 639.17000000 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# AZIMUTH REFERENCE UNDEFINED
# DX DY ARE UNDEFINED IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY          AZIM         INCL         DLS
 4053.9700000 752025.98695 3294464.4386 -1793.632848 2432.8028475 560.58694883 -1995.461445 180.27000000 90.000000000 0.3105590062
 4058.8250000 752025.96831 3294459.5837 -1793.611664 2432.7816637 560.56830685 -2000.316347 180.17000762 90.500000762 3.1507783048
 4063.6800000 752025.95814 3294454.7291 -1793.548114 2432.7181139 560.55813891 -2005.170905 180.07000000 91.000000000 3.1507783048
 4068.5050000 752025.95014 3294449.9050 -1793.457591 2432.6275911 560.55014033 -2009.995047 180.11999737 91.150000438 0.9830715884
 4073.3300000 752025.93793 3294445.0811 -1793.354439 2432.5244391 560.53793255 -2014.818928 180.17000000 91.300000000 0.9830715884
 4078.1300000 752025.92160 3294440.2828 -1793.226696 2432.3966964 560.52160285 -2019.617187 180.21998800 91.750000666 2.8297914082
 4082.9300000 752025.90109 3294435.4857 -1793.061272 2432.2312724 560.50109087 -2024.414280 180.27000000 92.200000000 2.8297914082
 4087.6800000 752025.88287 3294430.7393 -1792.876859 2432.0468590 560.48286577 -2029.160663 180.17000343 92.250003423 0.7056911724
 4092.4300000 752025.87293 3294425.9931 -1792.688304 2431.8583038 560.47292503 -2033.906908 180.07000000 92.300000000 0.7056911724
 4097.1600000 752025.86509 3294421.2670 -1792.496418 2431.6664182 560.46508896 -2038.633007 180.11999821 92.350000894 0.4482935250
 4101.8900000 752025.85313 3294416.5411 -1792.300408 2431.4704084 560.45312903 -2043.358929 180.17000000 92.400000000 0.4482935250
 4111.4600000 752025.82476 3294406.9795 -1791.899658 2431.0696583 560.42475922 -2052.920492 180.17000000 92.400000000 0.0000000000
 4116.2450000 752025.81266 3294402.1988 -1791.697197 2430.8671973 560.41266043 -2057.701191 180.12000187 92.450000932 0.4431245323
 4121.0300000 752025.80473 3294397.4183 -1791.490564 2430.6605644 560.40473388 -2062.481721 180.07000000 92.500000000 0.4431245323
 4125.8450000 752025.79886 3294392.6080 -1791.278438 2430.4484381 560.39885697 -2067.292042 180.07000000 92.550000000 0.3115264797
 4130.6600000 752025.79298 3294387.7978 -1791.062114 2430.2321141 560.39298027 -2072.102176 180.07000000 92.600000000 0.3115264797
 4135.4600000 752025.78712 3294383.0029 -1790.842280 2430.0122796 560.38712212 -2076.897136 180.07000000 92.650000000 0.3125000000
 4140.2600000 752025.78126 3294378.2081 -1790.618261 2429.7882607 560.38126421 -2081.691902 180.07000000 92.700000000 0.3125000000
 4145.0500000 752025.77333 3294373.4235 -1790.390533 2429.5605331 560.37333120 -2086.476479 180.11999790 92.750001046 0.4426094132
 4149.8400000 752025.76122 3294368.6392 -1790.158630 2429.3286302 560.36122338 -2091.260846 180.17000000 92.800000000 0.4426094132
 4154.7100000 752025.74679 3294363.7759 -1789.903755 2429.0737546 560.34679365 -2096.124141 180.17000000 93.200000000 2.4640657084
 4159.5800000 752025.73237 3294358.9145 -1789.614933 2428.7849331 560.33236956 -2100.985537 180.17000000 93.600000000 2.4640657084
 4164.4100000 752025.72017 3294354.0945 -1789.303242 2428.4732422 560.32017092 -2105.805452 180.12001159 93.800001443 1.2803020056
 4169.2400000 752025.71218 3294349.2757 -1788.974728 2428.1447284 560.31218029 -2110.624257 180.07000000 94.000000000 1.2803020056
 4178.9200000 752025.70038 3294339.6193 -1788.299486 2427.4694857 560.30038275 -2120.280670 180.07000000 94.000000000 0.0000000000
 4183.6950000 752025.69456 3294334.8561 -1787.964320 2427.1343202 560.29456338 -2125.043889 180.07000000 94.050000000 0.3141361256
 4188.4700000 752025.68874 3294330.0932 -1787.624998 2426.7949981 560.28874436 -2129.806814 180.07000000 94.100000000 0.3141361256
